-0.121401E-02,0.000000E+00,0.000000E+00.1,0.000000E+00.2,0.000000E+00.3,0.000000E+00.4,0.000000E+00.5,0.000000E+00.6,0.000000E+00.7,0.000000E+00.8,0.000000E+00.9,0.000000E+00.10,0.000000E+00.11,0.000000E+00.12,0.000000E+00.13,0.000000E+00.14,0.000000E+00.15,0.000000E+00.16,0.000000E+00.17,0.000000E+00.18,0.000000E+00.19,0.000000E+00.20,0.000000E+00.21,0.000000E+00.22,0.000000E+00.23,0.000000E+00.24,0.000000E+00.25,0.000000E+00.26,0.000000E+00.27,0.000000E+00.28,0.000000E+00.29,0.000000E+00.30,0.000000E+00.31,0.000000E+00.32,0.000000E+00.33,0.000000E+00.34,0.000000E+00.35,0.000000E+00.36
0.000215103,0.0700825,0.00639037,0.029697,0.0137341,0.00760838,0.0086122,0.00239705,0.000908227,0.0007350910000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000218606,0.070961,0.00640768,0.029965199999999997,0.0139982,0.00781218,0.00863673,0.00245993,0.0009240639999999999,0.000757055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000222109,0.0717855,0.00642856,0.030178800000000002,0.014252,0.00804341,0.00864243,0.00252126,0.0009405139999999999,0.0007785380000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000225612,0.0725123,0.00645261,0.030310700000000003,0.0144963,0.00828487,0.00863033,0.00258039,0.000957553,0.000799538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00022911400000000002,0.0731585,0.0064794,0.030378,0.0147335,0.00853031,0.00860471,0.00263742,0.000975156,0.000820054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000232617,0.07374689999999999,0.00650817,0.030397700000000003,0.0149655,0.00877521,0.00857458,0.00269244,0.0009932769999999999,0.000840085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00023612,0.07420210000000001,0.00653731,0.030300900000000002,0.015189500000000002,0.00901562,0.00854178,0.00274553,0.00101181,0.00085963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000239623,0.0745365,0.00656364,0.0301038,0.015405600000000002,0.00925021,0.00850699,0.00279679,0.00103073,0.000878687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000243125,0.07479630000000001,0.00658677,0.0298543,0.015611600000000002,0.00947734,0.00847262,0.0028463,0.00105,0.000897255,9.945110000000001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000246628,0.074986,0.0066065,0.0295562,0.0158161,0.00968684,0.00844018,0.00289415,0.00106961,0.000915334,1.11658e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000250131,0.0751324,0.0066232,0.029234899999999998,0.0160219,0.0098764,0.00840996,0.00294043,0.00108954,0.000932922,3.2067599999999997e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000253633,0.07523049999999999,0.00663814,0.0288906,0.0162312,0.010037,0.00838205,0.00298537,0.00110975,0.0009500169999999999,6.33775e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000257136,0.0753029,0.00665205,0.0285247,0.0164517,0.0101816,0.0083565,0.00302906,0.00113022,0.0009666189999999999,1.04773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000260639,0.075406,0.00666526,0.0281829,0.0166836,0.0103186,0.00833374,0.00307151,0.00115209,0.000982726,1.5593099999999998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00026414200000000003,0.0755682,0.0066777,0.027882799999999996,0.0169267,0.0104486,0.00831442,0.00311273,0.00118495,0.000998685,2.1653e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00026764400000000004,0.07577310000000001,0.00668931,0.027607200000000002,0.0171808,0.010570900000000001,0.00829902,0.00315275,0.00122958,0.00101494,2.8624699999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
